participant_id,cheese_type,product,presentation_order,overall_liking,chewiness,hardness,moisture,graininess,dairy_flavor,fattiness,tastiness,softness,jar_moisture,jar_firmness,jar_saltiness,jar_fattiness,jar_sharpness,jar_creaminess
cheese_23a1357d7f59,cheddar,plant_based,1,1.0,67.0,60.0,58.0,73.0,24.0,28.0,7.0,48.0,5,1,2,3,1,3
cheese_f5878f06c8e6,feta,plant_based,2,2.33,8.0,2.0,55.0,16.0,27.0,23.0,51.0,2.0,2,4,4,2,2,5
cheese_187b2d634e56,mozzarella,dairy,2,9.0,57.0,36.0,54.0,13.0,52.0,28.0,44.0,41.0,3,2,1,2,2,3
cheese_192a59c61ef2,cheddar,dairy,2,9.0,27.0,21.0,47.0,22.0,100.0,50.0,100.0,77.0,3,3,3,3,2,3
cheese_c2f330603093,feta,dairy,1,5.0,,,,,,,,28.0,3,2,3,3,3,3
cheese_8ca1da0a9aab,feta,plant_based,2,1.0,34.0,5.0,75.0,11.0,9.0,2.0,0.0,0.0,2,5,5,1,2,4
cheese_8b68848be2ca,cheddar,plant_based,2,9.0,67.0,64.0,69.0,43.0,68.0,23.0,68.0,21.0,4,2,3,3,2,3
cheese_7e78f3f9422d,mozzarella,dairy,2,9.0,47.0,50.0,80.0,10.0,87.0,78.0,67.0,68.0,3,4,3,4,4,3
cheese_8e502067cf76,feta,plant_based,2,2.33,0.0,8.0,15.0,0.0,,34.0,0.0,89.0,5,1,2,1,1,1
cheese_a6dba1dc5d98,cheddar,plant_based,1,1.0,18.0,7.0,65.0,79.0,33.0,40.0,32.0,35.0,1,1,3,2,1,3
cheese_2fc68b6c3bc0,cheddar,dairy,1,5.0,64.0,38.0,63.0,38.0,65.0,83.0,74.0,69.0,2,3,3,4,3,3
cheese_1d55faa1f299,mozzarella,plant_based,2,6.33,48.0,56.0,54.0,31.0,20.0,18.0,29.0,45.0,3,1,3,2,1,3
cheese_bc245726c390,mozzarella,dairy,2,3.67,72.0,100.0,52.0,50.0,88.0,50.0,65.0,,5,1,5,2,5,1
cheese_e6f9189de4fa,mozzarella,plant_based,2,9.0,45.0,51.0,48.0,66.0,50.0,79.0,58.0,72.0,4,2,1,3,2,2
cheese_273af0a5a169,mozzarella,dairy,1,9.0,62.0,49.0,60.0,19.0,89.0,67.0,74.0,47.0,3,3,3,3,2,4
cheese_6357a430dacc,mozzarella,plant_based,2,9.0,29.0,65.0,47.0,74.0,52.0,22.0,73.0,28.0,3,2,5,2,3,2
cheese_36656f0eb541,feta,dairy,2,9.0,0.0,,82.0,,100.0,70.0,88.0,95.0,3,2,4,3,3,3
cheese_192a59c61ef2,cheddar,plant_based,1,5.0,22.0,13.0,68.0,7.0,40.0,45.0,33.0,71.0,3,2,2,3,1,3
cheese_41d151bb2f12,feta,plant_based,2,6.33,48.0,14.0,74.0,79.0,62.0,48.0,21.0,90.0,1,3,3,3,3,4
cheese_84ccf74a728d,feta,plant_based,2,5.0,5.0,12.0,60.0,4.0,16.0,15.0,51.0,14.0,1,4,3,2,2,4
cheese_8ef9ae51c03b,mozzarella,dairy,2,7.67,32.0,25.0,66.0,6.0,64.0,23.0,48.0,14.0,2,2,2,2,3,4
cheese_a198230df81e,feta,dairy,1,7.67,29.0,33.0,82.0,28.0,71.0,49.0,89.0,57.0,3,3,3,3,3,3
cheese_3b1703ef1227,cheddar,dairy,1,9.0,4.0,40.0,53.0,62.0,100.0,100.0,99.0,49.0,3,3,3,4,3,3
cheese_420d31136d1e,feta,dairy,1,3.67,35.0,32.0,50.0,5.0,100.0,65.0,72.0,17.0,3,3,3,3,3,4
cheese_2781b108640e,mozzarella,plant_based,2,1.0,15.0,20.0,11.0,52.0,24.0,9.0,21.0,21.0,5,2,5,2,1,1
cheese_90caf7c155b1,cheddar,plant_based,2,6.33,49.0,50.0,48.0,13.0,71.0,55.0,70.0,62.0,3,3,1,3,2,3
cheese_dbe0d5cb36fb,mozzarella,dairy,2,9.0,46.0,26.0,63.0,21.0,100.0,70.0,100.0,63.0,3,3,3,3,3,3
cheese_ec8d26dbfb16,cheddar,plant_based,1,5.0,42.0,41.0,44.0,7.0,14.0,18.0,13.0,36.0,3,2,2,3,2,3
cheese_9fdfd7422bb1,feta,dairy,2,7.67,48.0,48.0,54.0,64.0,89.0,46.0,80.0,76.0,3,3,3,3,3,3
cheese_99cefd0b2834,mozzarella,plant_based,2,1.0,44.0,15.0,54.0,27.0,2.0,53.0,7.0,77.0,2,3,3,4,3,3
cheese_31030474d2e8,mozzarella,plant_based,1,2.33,41.0,53.0,46.0,32.0,52.0,49.0,46.0,43.0,4,3,3,2,3,3
cheese_2c9be73e1c4a,cheddar,dairy,2,9.0,68.0,52.0,56.0,34.0,100.0,78.0,91.0,70.0,3,3,3,3,2,4
cheese_502e7d72b7fc,feta,dairy,2,9.0,46.0,44.0,59.0,64.0,99.0,46.0,76.0,68.0,4,3,3,3,2,4
cheese_c177fae4e50b,cheddar,plant_based,2,1.0,4.0,19.0,10.0,0.0,12.0,8.0,77.0,84.0,4,2,3,2,2,2
cheese_1149133f83e4,cheddar,plant_based,2,5.0,7.0,57.0,17.0,43.0,16.0,5.0,31.0,56.0,2,1,2,2,2,3
cheese_336051ef492f,feta,plant_based,1,5.0,40.0,19.0,85.0,55.0,56.0,56.0,60.0,40.0,4,2,2,3,3,3
cheese_3d59896f422f,cheddar,dairy,2,6.33,22.0,16.0,,,89.0,31.0,60.0,80.0,3,3,4,3,3,3
cheese_502e7d72b7fc,feta,plant_based,1,6.33,52.0,59.0,74.0,38.0,74.0,51.0,45.0,34.0,2,4,3,3,2,3
cheese_5efed1663f6a,mozzarella,plant_based,1,1.0,8.0,10.0,37.0,20.0,43.0,47.0,25.0,97.0,3,2,3,2,1,1
cheese_4b0254b97369,cheddar,dairy,2,9.0,100.0,42.0,98.0,,92.0,84.0,85.0,77.0,3,3,3,3,2,3
cheese_6ef160eb56d1,mozzarella,dairy,2,6.33,62.0,13.0,42.0,7.0,56.0,45.0,71.0,84.0,3,3,3,3,3,3
cheese_2c9be73e1c4a,cheddar,plant_based,1,3.67,42.0,52.0,44.0,30.0,,,45.0,62.0,4,4,1,2,1,3
cheese_8a9992876636,mozzarella,dairy,1,6.33,14.0,0.0,86.0,0.0,88.0,100.0,74.0,100.0,3,3,2,4,3,3
cheese_ad58fffbf850,feta,dairy,2,2.33,54.0,51.0,50.0,53.0,76.0,81.0,43.0,60.0,2,3,5,4,5,4
cheese_967813dad246,mozzarella,dairy,2,6.33,59.0,24.0,75.0,10.0,100.0,68.0,98.0,72.0,3,3,3,3,3,3
cheese_cf2d8b0e4c3d,feta,dairy,2,6.33,20.0,25.0,69.0,16.0,88.0,72.0,74.0,82.0,3,3,3,3,3,3
cheese_275e0250d365,cheddar,dairy,1,7.67,43.0,31.0,62.0,91.0,79.0,96.0,76.0,93.0,4,4,3,4,3,3
cheese_b716112b05b1,mozzarella,plant_based,2,7.67,34.0,29.0,17.0,11.0,6.0,,,2.0,3,3,2,2,1,2
cheese_7b64560e25ab,feta,dairy,2,9.0,22.0,70.0,69.0,26.0,74.0,44.0,98.0,29.0,4,3,3,3,3,3
cheese_05e6f3fc0d50,feta,dairy,2,9.0,11.0,26.0,0.0,75.0,42.0,13.0,96.0,13.0,3,3,3,3,3,3
cheese_dec7738e8f85,cheddar,dairy,2,6.33,72.0,37.0,81.0,17.0,77.0,80.0,74.0,81.0,2,3,3,3,3,3
cheese_eee1e80f79f5,cheddar,dairy,1,9.0,12.0,51.0,59.0,19.0,97.0,78.0,64.0,12.0,3,3,3,3,3,3
cheese_d739f92a366c,mozzarella,dairy,1,7.67,63.0,25.0,76.0,20.0,100.0,63.0,98.0,77.0,3,2,3,3,3,3
cheese_a6dba1dc5d98,cheddar,dairy,2,7.67,53.0,55.0,55.0,38.0,48.0,49.0,54.0,64.0,2,2,3,2,2,1
cheese_4be56c83d342,cheddar,dairy,1,1.0,17.0,26.0,,,78.0,41.0,55.0,72.0,3,3,3,3,3,3
cheese_a1015a9d1bbd,mozzarella,plant_based,1,9.0,40.0,39.0,49.0,61.0,16.0,43.0,59.0,72.0,2,3,3,2,3,2
cheese_c2f330603093,feta,plant_based,2,1.0,7.0,13.0,63.0,5.0,28.0,18.0,51.0,6.0,2,4,3,2,2,4
cheese_a50c42675b09,cheddar,dairy,2,6.33,53.0,59.0,42.0,4.0,93.0,61.0,81.0,53.0,3,3,2,3,3,3
cheese_a551c7ccb671,feta,plant_based,1,5.0,52.0,44.0,77.0,31.0,76.0,57.0,45.0,44.0,2,4,3,3,2,3
cheese_81b6dc6c8969,mozzarella,dairy,2,9.0,54.0,12.0,40.0,8.0,54.0,35.0,69.0,82.0,3,3,3,3,3,3
cheese_05e6f3fc0d50,feta,plant_based,1,2.33,25.0,4.0,79.0,14.0,7.0,1.0,0.0,0.0,2,5,5,1,2,4
cheese_fdbde28dfec8,cheddar,plant_based,2,2.33,59.0,86.0,22.0,83.0,62.0,71.0,22.0,20.0,4,2,3,3,4,2
cheese_ea6cb36abfdd,cheddar,dairy,2,1.0,17.0,50.0,47.0,23.0,97.0,70.0,84.0,23.0,3,2,3,3,3,2
cheese_c84960cf6ef5,mozzarella,plant_based,1,5.0,68.0,49.0,67.0,26.0,36.0,67.0,28.0,74.0,3,2,2,3,2,3
cheese_94ecad50e1ea,cheddar,plant_based,2,5.0,100.0,40.0,75.0,,70.0,80.0,70.0,50.0,3,3,3,3,1,3
cheese_af099857d24b,cheddar,dairy,2,7.67,68.0,41.0,86.0,52.0,91.0,50.0,71.0,43.0,3,3,3,3,3,4
cheese_7013189a75f4,feta,dairy,1,9.0,53.0,27.0,74.0,44.0,69.0,78.0,68.0,47.0,3,3,4,3,4,4
cheese_38b49b8ebf48,cheddar,dairy,2,6.33,56.0,58.0,55.0,41.0,52.0,48.0,55.0,56.0,2,2,3,2,2,2
cheese_62932f784656,feta,dairy,1,7.67,22.0,50.0,40.0,51.0,66.0,28.0,55.0,33.0,3,3,1,1,1,1
cheese_c67486988d1f,feta,dairy,1,1.0,45.0,48.0,50.0,45.0,76.0,69.0,55.0,60.0,1,3,5,4,5,4
cheese_f6a7bfdcc83e,cheddar,dairy,2,9.0,49.0,42.0,52.0,12.0,98.0,57.0,94.0,43.0,3,3,3,3,3,3
cheese_9c924c800510,mozzarella,dairy,2,9.0,69.0,63.0,32.0,20.0,84.0,95.0,93.0,86.0,3,3,4,3,3,3
cheese_7c0c9ea3e5c2,feta,dairy,2,6.33,55.0,50.0,52.0,64.0,83.0,49.0,84.0,74.0,3,3,2,3,3,3
cheese_08292dc07f9e,feta,plant_based,1,5.0,,,100.0,,90.0,89.0,100.0,80.0,1,4,3,3,3,3
cheese_37778cb3f248,mozzarella,plant_based,1,5.0,56.0,52.0,55.0,65.0,65.0,64.0,58.0,75.0,4,2,1,1,3,2
cheese_da98dcecbc92,feta,dairy,1,6.33,43.0,31.0,78.0,39.0,75.0,74.0,76.0,50.0,3,3,4,3,4,5
cheese_8ef9ae51c03b,mozzarella,plant_based,1,3.67,52.0,50.0,47.0,32.0,20.0,23.0,29.0,39.0,3,1,3,2,2,3
cheese_7c0c9ea3e5c2,feta,plant_based,1,3.67,47.0,54.0,92.0,36.0,79.0,42.0,45.0,28.0,2,4,3,3,1,3
cheese_9f9415b1e1a1,cheddar,plant_based,2,6.33,37.0,39.0,25.0,47.0,48.0,12.0,42.0,23.0,4,2,3,2,3,2
cheese_363620031065,cheddar,dairy,2,9.0,20.0,53.0,41.0,40.0,62.0,27.0,59.0,,3,3,3,3,3,3
cheese_8dd50f93f4db,feta,plant_based,1,6.33,43.0,37.0,81.0,24.0,51.0,41.0,77.0,53.0,3,3,4,3,3,3
cheese_f34aeae408f1,feta,dairy,2,9.0,28.0,32.0,88.0,31.0,56.0,52.0,90.0,57.0,3,3,3,3,3,3
cheese_9cd7f36db45f,cheddar,dairy,1,9.0,0.0,0.0,95.0,11.0,89.0,100.0,87.0,96.0,3,3,3,3,3,2
cheese_374bd74a122a,feta,dairy,2,7.67,55.0,52.0,59.0,44.0,88.0,70.0,56.0,73.0,3,3,3,3,3,3
cheese_f577211be597,mozzarella,plant_based,1,2.33,52.0,45.0,54.0,35.0,17.0,28.0,29.0,37.0,3,1,3,2,2,3
cheese_1d55faa1f299,mozzarella,dairy,1,6.33,42.0,21.0,64.0,7.0,67.0,22.0,44.0,18.0,2,2,2,2,3,4
cheese_9eeef5ec7a43,feta,dairy,2,9.0,30.0,31.0,45.0,10.0,100.0,56.0,73.0,21.0,3,3,3,3,3,3
cheese_61eb5062cee9,mozzarella,dairy,2,9.0,72.0,22.0,46.0,15.0,84.0,95.0,60.0,86.0,3,3,3,3,3,3
cheese_328ec907f3b3,cheddar,plant_based,2,5.0,35.0,27.0,36.0,40.0,40.0,17.0,42.0,35.0,4,2,4,2,3,1
cheese_24a940e3f2dc,feta,plant_based,2,9.0,33.0,35.0,79.0,18.0,36.0,37.0,77.0,55.0,2,3,4,3,3,3
cheese_1ce3e88a4d78,mozzarella,plant_based,2,1.0,95.0,80.0,63.0,,,92.0,10.0,81.0,4,4,2,4,1,3
cheese_ca96e70943ab,cheddar,dairy,1,9.0,30.0,14.0,41.0,16.0,100.0,50.0,99.0,81.0,3,2,3,3,3,3
cheese_531d019b672d,feta,dairy,1,6.33,32.0,26.0,41.0,16.0,94.0,64.0,68.0,24.0,3,3,3,3,3,3
cheese_66d5b2730439,mozzarella,dairy,2,6.33,76.0,72.0,28.0,30.0,85.0,94.0,100.0,89.0,3,4,3,3,3,3
cheese_f206bb79453b,feta,plant_based,1,9.0,12.0,15.0,31.0,7.0,41.0,31.0,30.0,75.0,3,4,2,2,2,3
