sample_id,product,angular_frequency,storage_modulus,loss_modulus,tan_delta,temperature
cheese_rheo_b383986cc83e,plant_cheddar,0.633961,436227,34816.3,0.0798125,25
cheese_rheo_8a12f8c4da2d,plant_mozzarella,1.59243,397903,71393.6,0.179425,25
cheese_rheo_4e15653d79b9,plant_cheddar,2.00475,459232,36768.3,0.0800648,25
cheese_rheo_f999dd55b81a,plant_mozzarella,0.317731,571542,79661.8,0.13938,25
cheese_rheo_c8b760392806,plant_feta,1.59243,292651,63691.6,0.217637,25
cheese_rheo_6c53f905caa7,plant_feta,0.633961,263737,247207.0,0.937324,25
cheese_rheo_6c53f905caa7,plant_feta,2.52384,318927,292058.0,0.915753,25
cheese_rheo_8f07b1ed90e6,plant_mozzarella,15.9242,493761,77728.4,0.157421,25
cheese_rheo_80ff05481ad9,plant_feta,20.0475,509375,437871.0,0.859624,25
cheese_rheo_3d3025531656,dairy_mozzarella,0.798103,259157,83676.3,0.322879,25
cheese_rheo_8c9adf1d7529,plant_cheddar,1.99526,397544,53784.6,0.135292,25
cheese_rheo_ffe0014387aa,plant_cheddar,3.16229,318448,66530.4,0.208921,25
cheese_rheo_9bbee09cb4be,dairy_mozzarella,0.126491,157693,57505.6,0.364668,25
cheese_rheo_43f61c34f7b2,dairy_mozzarella,0.798103,232020,77261.5,0.332996,25
cheese_rheo_887f199562ea,dairy_cheddar,4.00003,482486,199331.0,0.413133,25
cheese_rheo_efba4e3bce95,dairy_cheddar,0.4,600971,208652.0,0.347191,25
cheese_rheo_0ce8e929e697,dairy_mozzarella,0.126491,140244,53902.2,0.384347,25
cheese_rheo_b383986cc83e,plant_cheddar,12.6492,477611,45677.6,0.0956376,25
cheese_rheo_80ff05481ad9,plant_feta,0.633961,321833,305910.0,0.950524,25
cheese_rheo_8c9adf1d7529,plant_cheddar,0.794327,383843,52276.2,0.136192,25
cheese_rheo_ffe0014387aa,plant_cheddar,2.51189,314522,66572.6,0.211663,25
cheese_rheo_2d5fd8e35091,dairy_feta,25.2383,1818600,557309.0,0.30645,25
cheese_rheo_7236086d1bf4,dairy_cheddar,0.317731,439498,160336.0,0.364815,25
cheese_rheo_caf5fd7a2800,plant_feta,12.6492,242627,203376.0,0.838228,25
cheese_rheo_887f199562ea,dairy_cheddar,20.0475,551530,254665.0,0.461742,25
cheese_rheo_4e2a0a130dcc,dairy_feta,0.252383,830117,235833.0,0.284096,25
cheese_rheo_8c9adf1d7529,plant_cheddar,100.0,430078,61296.8,0.142525,25
cheese_rheo_0ce8e929e697,dairy_mozzarella,0.317731,163961,58350.9,0.355882,25
cheese_rheo_c8b760392806,plant_feta,0.252383,275241,69446.7,0.252312,25
cheese_rheo_7236086d1bf4,dairy_cheddar,0.100476,371014,144045.0,0.388246,25
cheese_rheo_3d3025531656,dairy_mozzarella,12.6492,379716,124971.0,0.329116,25
cheese_rheo_efba4e3bce95,dairy_cheddar,3.17733,786614,261873.0,0.332911,25
