participant_id,product,presentation_order,appearance,flavor,texture,shrimp_intensity,firmness,chewiness,overall,purchase,cata_shrimplike,cata_fishy,cata_salty,cata_savory,cata_bland,cata_firm,cata_tender,cata_chewy,cata_rubbery,cata_juicy,cata_naturallooking,cata_appealing_color,cata_fresh_aroma,cata_offflavor,cata_offodor
coast_024ce1d25213,conventional,2,5,4,4,3.0,2.0,1.0,3,4.0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
coast_d965f0c86532,plant_based,1,7,2,6,3.0,2.0,3.0,7,3.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
coast_3a15c20bcff5,plant_based,1,6,6,6,3.0,3.0,3.0,6,2.0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1
coast_f62bcfd42f7b,plant_based,1,9,7,7,2.0,4.0,4.0,2,1.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
coast_1bcb2caf0678,plant_based,1,6,7,6,3.0,4.0,2.0,7,,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0
coast_a09f37ff2845,plant_based,2,6,6,6,4.0,2.0,4.0,6,2.0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
coast_6365f48017a9,conventional,2,6,7,6,4.0,3.0,3.0,7,3.0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
coast_75c53cb86f8a,plant_based,1,6,7,6,4.0,3.0,3.0,7,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
coast_048f3c4b8486,conventional,2,2,2,2,3.0,2.0,3.0,7,2.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
coast_dd69d732f721,plant_based,1,6,7,6,3.0,3.0,3.0,6,3.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
coast_1e5ccec1876d,conventional,2,8,8,9,1.0,3.0,3.0,9,3.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
coast_b142f6ed1264,conventional,2,3,6,6,1.0,2.0,1.0,5,4.0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
coast_2f0d8f867d59,plant_based,2,4,2,4,4.0,1.0,1.0,6,5.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
coast_9275059b91fe,plant_based,1,8,6,9,4.0,3.0,3.0,9,2.0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1
coast_d965f0c86532,conventional,2,2,2,2,3.0,3.0,3.0,7,3.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
coast_8d98f4b1b8c4,conventional,1,9,6,6,2.0,3.0,3.0,6,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
coast_55de95316a83,plant_based,1,5,8,7,3.0,2.0,1.0,2,3.0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
coast_3050258dff71,plant_based,1,8,7,6,1.0,2.0,3.0,7,1.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
coast_bc63b99dd145,plant_based,2,9,6,6,3.0,3.0,3.0,6,3.0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
coast_8d98f4b1b8c4,plant_based,2,7,9,2,2.0,2.0,3.0,6,2.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
coast_1870b7b7571b,conventional,1,7,2,6,3.0,,3.0,7,3.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
coast_32aaf8f43cb2,conventional,2,2,2,7,3.0,2.0,2.0,7,3.0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
coast_940c9110dea2,conventional,2,9,9,9,2.0,2.0,2.0,9,2.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
coast_d7372003b702,plant_based,1,9,9,9,3.0,3.0,3.0,9,2.0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1
coast_4024c5b0af7e,conventional,1,6,3,6,2.0,3.0,4.0,9,1.0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1
coast_048f3c4b8486,plant_based,1,6,6,7,3.0,3.0,3.0,6,2.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
coast_19f2acda90d5,conventional,1,7,3,3,3.0,3.0,2.0,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coast_52870874488b,plant_based,2,2,7,6,3.0,2.0,4.0,7,3.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
coast_6f27f8a69503,conventional,1,7,6,7,3.0,3.0,5.0,6,3.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
coast_fc173ee3b1a3,plant_based,2,7,7,9,3.0,2.0,2.0,6,2.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
coast_e87867dcbb13,conventional,2,2,2,2,3.0,3.0,3.0,2,3.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
coast_519cf35b6cb0,plant_based,1,9,6,6,4.0,3.0,4.0,6,4.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
coast_0e878c25bde8,conventional,1,2,7,6,4.0,3.0,3.0,2,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
coast_8bc3eef2ac6c,plant_based,2,6,7,6,3.0,3.0,3.0,7,3.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
coast_54483da576ef,plant_based,1,8,7,9,1.0,3.0,1.0,2,4.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
coast_a721ddb61fc8,plant_based,2,3,4,7,4.0,2.0,2.0,5,5.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
coast_f6480f960f4e,plant_based,2,2,7,2,3.0,2.0,2.0,2,4.0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0
coast_a47c6bababe6,plant_based,2,2,2,6,3.0,2.0,2.0,7,2.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
coast_f66fe4613403,plant_based,1,9,6,6,3.0,3.0,3.0,9,2.0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
coast_a0c71ae2c93f,conventional,2,6,7,6,2.0,3.0,3.0,7,2.0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0
coast_5f332ffd5620,conventional,2,2,6,6,3.0,2.0,2.0,2,3.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
coast_53435ec1748f,plant_based,2,6,6,7,3.0,4.0,3.0,7,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
coast_97d516a2c5c1,plant_based,2,2,3,4,4.0,2.0,3.0,4,5.0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
coast_1bc3649b66b1,conventional,1,8,7,6,1.0,4.0,4.0,7,2.0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1
coast_1c6a8b298dba,plant_based,2,7,7,6,3.0,2.0,2.0,6,4.0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
coast_afc47a4e7cd8,conventional,1,6,6,6,3.0,2.0,3.0,7,2.0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0
coast_9275059b91fe,conventional,2,3,7,3,3.0,2.0,3.0,2,3.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
coast_19f2acda90d5,plant_based,2,4,4,5,4.0,4.0,2.0,5,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
coast_7ac5e9db4084,plant_based,1,9,6,7,3.0,2.0,3.0,6,2.0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
coast_6060fb2dd7c9,plant_based,2,9,2,4,5.0,5.0,4.0,2,4.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
